Date,Open,High,Low,Close,Adj Close,Volume
2023-08-21,1175.0,1240.0,1130.0,1225.0,1225.0,79109700
2023-08-22,1225.0,1260.0,1185.0,1210.0,1210.0,78195600
2023-08-23,1215.0,1235.0,1155.0,1180.0,1180.0,84562300
2023-08-24,1180.0,1235.0,1175.0,1225.0,1225.0,49505300
2023-08-25,1225.0,1225.0,1180.0,1180.0,1180.0,36945700
2023-08-28,1190.0,1255.0,1185.0,1240.0,1240.0,64436400
2023-08-29,1240.0,1270.0,1210.0,1215.0,1215.0,51373600
2023-08-30,1220.0,1300.0,1190.0,1275.0,1275.0,128455600
2023-08-31,1280.0,1375.0,1270.0,1360.0,1360.0,145142800
2023-09-01,1365.0,1395.0,1335.0,1360.0,1360.0,58714200
2023-09-04,1365.0,1385.0,1340.0,1355.0,1355.0,35115000
2023-09-05,1365.0,1370.0,1265.0,1325.0,1325.0,73566000
2023-09-06,1330.0,1375.0,1330.0,1365.0,1365.0,51182500
2023-09-07,1370.0,1425.0,1340.0,1395.0,1395.0,100587900
2023-09-08,1395.0,1425.0,1390.0,1395.0,1395.0,40311500
2023-09-11,1395.0,1415.0,1360.0,1400.0,1400.0,34195900
2023-09-12,1405.0,1440.0,1375.0,1440.0,1440.0,35844300
2023-09-13,1460.0,1460.0,1385.0,1395.0,1395.0,40787800
2023-09-14,1405.0,1440.0,1395.0,1430.0,1430.0,27334200
2023-09-15,1445.0,1455.0,1405.0,1440.0,1440.0,21032400
2023-09-18,1440.0,1510.0,1435.0,1510.0,1510.0,62606500
2023-09-19,1515.0,1525.0,1495.0,1515.0,1515.0,36529000
2023-09-20,1520.0,1570.0,1515.0,1540.0,1540.0,57174100
2023-09-21,1540.0,1555.0,1490.0,1490.0,1490.0,57593800
2023-09-22,1500.0,1505.0,1460.0,1480.0,1480.0,26620500
2023-09-25,1485.0,1500.0,1430.0,1435.0,1435.0,34639900
2023-09-26,1440.0,1465.0,1275.0,1315.0,1315.0,110683700
2023-09-27,1320.0,1370.0,1315.0,1355.0,1355.0,68251900
2023-09-29,1360.0,1405.0,1295.0,1305.0,1305.0,51014700
2023-10-02,1305.0,1320.0,1220.0,1315.0,1315.0,69607000
2023-10-03,1315.0,1315.0,1235.0,1240.0,1240.0,58107700
2023-10-04,1235.0,1240.0,1120.0,1150.0,1150.0,147917700
2023-10-05,1125.0,1235.0,1125.0,1190.0,1190.0,111570600
2023-10-06,1190.0,1240.0,1175.0,1215.0,1215.0,67007300
2023-10-09,1215.0,1265.0,1205.0,1250.0,1250.0,60634300
2023-10-10,1260.0,1360.0,1230.0,1335.0,1335.0,105312800
2023-10-11,1335.0,1355.0,1240.0,1250.0,1250.0,90218100
2023-10-12,1260.0,1275.0,1140.0,1200.0,1200.0,103858000
2023-10-13,1200.0,1215.0,1150.0,1155.0,1155.0,49650400
2023-10-16,1170.0,1215.0,1155.0,1180.0,1180.0,61986000
2023-10-17,1200.0,1245.0,1185.0,1235.0,1235.0,61807200
2023-10-18,1280.0,1350.0,1215.0,1300.0,1300.0,116212200
2023-10-19,1350.0,1350.0,1220.0,1245.0,1245.0,79929500
2023-10-20,1245.0,1245.0,1180.0,1220.0,1220.0,81105200
2023-10-23,1220.0,1220.0,1165.0,1165.0,1165.0,40280300
2023-10-24,1165.0,1205.0,1165.0,1200.0,1200.0,31212700
2023-10-25,1200.0,1220.0,1185.0,1185.0,1185.0,23483300
2023-10-26,1190.0,1200.0,1095.0,1110.0,1110.0,53373000
2023-10-27,1110.0,1130.0,1085.0,1095.0,1095.0,26487600
2023-10-30,1100.0,1115.0,1065.0,1115.0,1115.0,25508600
2023-10-31,1115.0,1135.0,1060.0,1100.0,1100.0,22797200
2023-11-01,1100.0,1130.0,1060.0,1095.0,1095.0,25167900
2023-11-02,1095.0,1180.0,1095.0,1160.0,1160.0,39401300
2023-11-03,1175.0,1225.0,1170.0,1190.0,1190.0,51027200
2023-11-06,1195.0,1275.0,1195.0,1270.0,1270.0,61745600
2023-11-07,1270.0,1280.0,1220.0,1240.0,1240.0,23635100
2023-11-08,1240.0,1240.0,1160.0,1175.0,1175.0,46649700
2023-11-09,1185.0,1215.0,1185.0,1185.0,1185.0,15904900
2023-11-10,1185.0,1215.0,1165.0,1175.0,1175.0,13381600
2023-11-13,1190.0,1190.0,1125.0,1125.0,1125.0,23200700
2023-11-14,1125.0,1210.0,1120.0,1185.0,1185.0,24202100
2023-11-15,1200.0,1250.0,1195.0,1235.0,1235.0,32139800
2023-11-16,1220.0,1235.0,1185.0,1210.0,1210.0,16077400
2023-11-17,1200.0,1245.0,1185.0,1185.0,1185.0,13506200
2023-11-20,1190.0,1210.0,1165.0,1165.0,1165.0,13413100
2023-11-21,1175.0,1225.0,1170.0,1210.0,1210.0,16072000
2023-11-22,1210.0,1220.0,1190.0,1205.0,1205.0,14674600
2023-11-23,1205.0,1215.0,1180.0,1190.0,1190.0,9172900
2023-11-24,1200.0,1200.0,1170.0,1180.0,1180.0,12216900
2023-11-27,1180.0,1340.0,1180.0,1255.0,1255.0,107033800
2023-11-28,1265.0,1275.0,1235.0,1255.0,1255.0,23489700
2023-11-29,1260.0,1300.0,1240.0,1265.0,1265.0,19359800
2023-11-30,1265.0,1340.0,1265.0,1325.0,1325.0,60080500
2023-12-01,1325.0,1350.0,1255.0,1275.0,1275.0,34732800
2023-12-04,1280.0,1320.0,1255.0,1300.0,1300.0,30761200
2023-12-05,1305.0,1360.0,1290.0,1300.0,1300.0,29321600
2023-12-06,1310.0,1335.0,1300.0,1300.0,1300.0,15688200
2023-12-07,1295.0,1325.0,1280.0,1305.0,1305.0,28377900
